"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA.x","Length","QSS","n.unique","n.unique.affordance","total.affordance","Category","Living","Thought","Repro","Person","Goals","Move","LivingN","ThoughtN","ReproN","PersonN","GoalsN","MoveN","CNC","FAM","IMG","AVAIL","MNG","VAL","ARO","DOM","AoA.y","LEN","OrthoN","PhonoN","NSyll","SUBTLWF","SUBTLCD","AnimMental","AnimPhysical","X"
"antibiotics",26,4.956521739,4.45,2.2742,9.55,11,NA,30,22,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antihistamine",29,5.260869565,3.68,1.1139,12.93,13,NA,34,24,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antique",40,4.423076923,3.75,2.4914,8.05,7,10,58,53,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antiseptics",34,5.041666667,3.96,0.6021,10.78,11,NA,31,24,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anus",33,5.16,4.86,1.7559,11.17,4,NA,34,26,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apartment",39,4.6,4.9,3.627,7.8,9,18,65,61,216,"E B",111,104,148,152,239,139,28,27,23,25,23,23,575,491,556,1.28,18,5.72,3.8,5.33,7.8,9,0,0,3,83.04,21.15,167,119,NA
"apparatus",41,4.636363636,3.78,1.8921,10.9,9,NA,35,22,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apparel",49,5.695652174,4.6,1.5563,10.8,7,NA,30,28,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"appendage",43,5,4.26,1.3424,11.58,9,11,28,24,64,"B",385,130,195,318,254,458,20,23,22,28,28,26,503,544,312,0,11,4.23,4.35,5.32,11.58,9,0,1,3,0.41,0.2,205,281,NA
"appetizer",33,6.12,4.71,1.7924,9.06,9,NA,27,22,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apple",28,6.272727273,5,3.0821,4.15,5,17,28,26,83,"P E",419,144,396,188,164,254,26,27,28,26,25,26,620,598,637,1.67,17,6.62,3.52,6.44,4.15,5,2,4,2,23.67,8.21,146,381,NA
