Cue,Target,AFS,AFP,AFSS,FSG,COS,BOI,Concrete,SUBTLEX,AoA,Length,QSS,n,n.affordance,affordance_count
barn,store,0.352941176,0.666666667,22,NA,NA,5.173913043,4.79,2.8414,4.5,4,13,27,21,48
barnacle,eat,0.137254902,0.25,35,NA,NA,4.260869565,4.92,NA,11.6,8,NA,28,22,47
barrel,store,0.148148148,0.461538462,38,NA,NA,5.304347826,4.86,2.7348,7.72,6,25,26,21,76
barrette,wear,0.145833333,0.269230769,32,NA,NA,6,4.12,0.9542,6.71,8,NA,26,23,50
barricade,block,0.211764706,0.514285714,38,NA,NA,4.28,4.57,1.8808,11.18,9,NA,35,35,79
bartender,drink,0.14953271,0.41025641,42,0.682,NA,4.64,4.82,2.6981,8.9,9,11,39,34,100
baseball,throw,0.197080292,0.771428571,45,NA,0.165999965,6.037037037,4.86,3.1103,4.83,8,18,35,33,138
baseboard,build,0.131578947,0.185185185,26,NA,NA,5.375,4.9,1,10.71,9,NA,27,20,37
basement,store,0.240963855,0.714285714,36,NA,NA,4.6,4.89,3.0314,6.74,8,19,28,24,86
basil,cook,0.225352113,0.592592593,31,NA,NA,5.916666667,4.76,NA,10.13,5,NA,27,27,72
basin,wash,0.310344828,0.620689655,25,NA,NA,4.818181818,4.63,1.9868,10,5,NA,29,23,56
basket,carry,0.179487179,0.518518519,33,0.014,0.234373698,6.391304348,5,2.828,5.67,6,19,27,25,75
basketball,play,0.113043478,0.464285714,39,NA,NA,6.25,4.97,3.0382,5.3,10,13,28,26,105
bass,play,0.134831461,0.333333333,45,NA,NA,4.37037037,4.31,2.5866,8.63,4,14,36,26,84
bassinet,sleep,0.238095238,0.4,21,NA,NA,5.375,4.71,1.2788,9.18,8,5,25,20,37
bat,hit,0.177419355,0.564102564,52,NA,NA,5.041666667,5,3.0224,4.85,3,17,39,37,115
bath,clean,0.171052632,0.481481481,31,0.242,NA,5.964285714,4.85,3.2009,3.23,4,10,27,25,74
bathe,clean,0.278688525,0.515151515,25,NA,NA,5.214285714,4.19,2.1106,5,5,NA,33,28,62
bathroom,shower,0.134453782,0.421052632,42,0.151,0.248220549,6,4.52,3.4978,3,8,14,38,37,116
bathtub,bathe,0.210526316,0.714285714,33,NA,NA,6.565217391,4.92,2.4942,3.22,7,14,28,26,79
baton,hit,0.130434783,0.346153846,37,NA,NA,5.913043478,4.64,NA,7.94,5,NA,26,24,65
