"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","I_Zscore"
"1","candidate","9","22,638","10.027","-0.428"
"1","candle","6","2,719","7.908","-0.709"
"1","candlestick","11","189","5.242","-0.066"
"1","candy","5","4,887","8.494","-0.530"
"1","cane","4","5,405","8.595","-0.466"
"1","canine","6","1,870","7.534","-0.119"
"1","cannabis","8","3,271","8.093","0.193"
"1","cannonball","10","472","6.157","0.153"
"1","canoe","5","1,727","7.454","-0.424"
"1","cantaloupe","10","89","4.489","0.122"
"1","canteen","7","245","5.501","-0.083"
"1","canvas","6","2,870","7.962","-0.453"
"1","cap","3","13,881","9.538","-0.646"
"1","cape","4","5,458","8.605","-0.470"
"1","capsule","7","2,376","7.773","-0.232"
"1","captain","7","21,156","9.960","-0.670"
"1","car","3","86,253","11.365","-0.619"
"1","caramel","7","337","5.820","-0.147"
"1","card","4","222,822","12.314","-0.585"
"1","cardboard","9","3,370","8.123","-0.256"
"1","cardigan","8","271","5.602","0.034"
"1","caretaker","9","3,014","8.011","-0.460"
"1","carnival","8","1,920","7.560","-0.600"
"1","carp","4","652","6.480","0.079"
"1","carpenter","9","2,342","7.759","-0.472"
"1","carpet","6","9,279","9.136","-0.575"
"1","carport","7","39","3.664","-0.010"
"1","carriage","8","2,568","7.851","-0.387"
"1","carrot","6","1,435","7.269","-0.540"
"1","cart","4","5,925","8.687","-0.657"
"1","carton","6","674","6.513","-0.321"
"1","cartridge","9","7,609","8.937","-0.057"
"1","case","4","199,506","12.204","-0.852"
"1","caseworker","10","47","3.850","-0.163"
"1","cash","4","39,508","10.584","-0.788"
"1","cashier","7","769","6.645","-0.585"
"1","cashmere","8","154","5.037","-0.336"
"1","casket","6","385","5.953","-0.256"
"1","casserole","9","358","5.881","-0.207"
"1","cassette","8","6,887","8.837","-0.413"
"1","castle","6","11,629","9.361","-0.580"
"1","cat","3","38,649","10.562","-0.876"
"1","catapult","8","4,532","8.419","0.244"
"1","caterpillar","11","413","6.023","0.016"
"1","catfish","7","1,081","6.986","-0.620"
"1","cathedral","9","3,060","8.026","-0.197"
"1","catnip","6","386","5.956","0.127"
"1","cattle","6","3,830","8.251","-0.466"
"1","catwalk","7","158","5.063","-0.483"
"1","cauldron","8","1,019","6.927","-0.076"
"1","cauliflower","11","238","5.472","-0.001"
"1","caviar","6","1,416","7.256","0.097"
"1","cayenne","7","370","5.914","0.291"
"1","cedar","5","3,003","8.007","-0.453"
"1","celery","6","732","6.596","-0.443"
"1","cellar","6","1,138","7.037","-0.375"
"1","cello","5","1,453","7.281","-0.141"
"1","cellophane","10","256","5.545","0.108"
"1","cement","6","2,078","7.639","-0.272"
"1","cent","4","6,305","8.749","-0.513"
"1","centipede","9","664","6.498","0.118"
"1","ceramic","7","1,792","7.491","-0.266"
"1","ceramics","8","626","6.439","0.025"
"1","cereal","6","3,178","8.064","-0.474"
"1","certificate","11","6,821","8.828","-0.048"
"1","chain","5","23,315","10.057","-0.690"
"1","chair","5","18,589","9.830","-0.692"
"1","chairman","8","11,306","9.333","-0.462"
"1","chairperson","11","728","6.590","-0.080"
"1","chairwoman","10","120","4.787","0.089"
"1","chalet","6","235","5.460","-0.135"
"1","chalice","7","2,044","7.623","0.308"
"1","chalk","5","1,662","7.416","-0.575"
"1","chambermaid","11","44","3.784","0.202"
"1","champagne","9","1,424","7.261","-0.155"
"1","chapel","6","2,917","7.978","-0.511"
"1","chaplain","8","313","5.746","0.411"
"1","charcoal","8","853","6.749","-0.243"
"1","chart","5","10,661","9.274","-0.648"
"1","chauffeur","9","236","5.464","-0.028"
"1","checkbook","9","454","6.118","-0.417"
"1","checkerboard","12","130","4.868","-0.299"
"1","checklist","9","1,859","7.528","-0.426"
"1","cheddar","7","427","6.057","-0.295"
"1","cheek","5","3,555","8.176","-0.545"
"1","cheekbone","9","47","3.850","-0.167"
"1","cheerleader","11","526","6.265","-0.385"
"1","cheese","6","8,662","9.067","-0.642"
"1","cheesecake","10","525","6.263","-0.371"
"1","cheesecloth","11","103","4.635","0.571"
"1","chef","4","1,418","7.257","-0.656"
"1","chemicals","9","5,986","8.697","-0.488"
"1","cherry","6","4,370","8.383","-0.743"
"1","chessboard","10","216","5.375","-0.148"
"1","chest","5","13,012","9.474","-0.669"
"1","chestnut","8","1,052","6.958","-0.235"
"1","Chevy","5","3,956","8.283","-0.565"
"1","chick","5","3,178","8.064","-0.739"
"1","chicken","7","11,478","9.348","-0.764"
"1","chickenfeed","11","4","1.386","0.864"
"1","Chihuahua","9","618","6.426","0.715"
"1","child","5","64,729","11.078","-0.744"
"1","childbirth","10","1,086","6.990","-0.197"
"1","children","8","96,102","11.473","-0.558"
"1","chili","5","1,783","7.486","-0.199"
"1","chimney","7","536","6.284","-0.022"
"1","chimpanzee","10","382","5.945","-0.046"
"1","chin","4","4,747","8.465","-0.459"
"1","chinaware","9","6","1.792","0.480"
"1","chinchilla","10","255","5.541","0.981"
"1","chip","4","35,544","10.479","-0.749"
"1","chiropractor","12","248","5.513","0.530"
"1","chisel","6","2,697","7.900","-0.161"
"1","chocolate","9","9,520","9.161","-0.388"
"1","choreographer","13","209","5.342","0.427"
"1","chow","4","3,329","8.110","-0.468"
"1","chowder","7","199","5.293","-0.217"
"1","chronograph","11","52","3.951","0.307"
"1","chronometer","11","85","4.443","0.634"
