"cue","response","AFSS"
"anchovy","eat",13
"anchovy","grind",13
"anchovy","bait",13
"anchovy","sacrifice",13
"anchovy","share",13
"anchovy","flavor",13
"anchovy","feed",13
"anchovy","topping",13
"anchovy","sew",13
"anchovy","fertilize",13
"anchovy","food",13
"animal","food",32
"animal","amuse",32
"animal","encourage",32
"animal","fuel",32
"animal","ballast",32
"animal","weapon",32
"animal","think",32
"animal","catapult",32
"animal","labor",32
"animal","pet",32
"animal","play",32
"animal","eat",32
"animal","cook",32
"animal","protect",32
"animal","security",32
"animal","feed",32
"animal","watch",32
"animal","walk",32
"animal","love",32
"animal","entertain",32
"animal","kill",32
"animal","capture",32
"animal","wash",32
"animal","care",32
"animal","stroke",32
"animal","water",32
"animal","release",32
"animal","run",32
"animal","work",32
"animal","ride",32
"animal","bake",32
"animal","fight",32
"ankle","break",17
"ankle","roll",17
"ankle","twist",17
"ankle","sprain",17
"ankle","heal",17
"ankle","turn",17
"ankle","rest",17
"ankle","rotate",17
"ankle","walk",17
"ankle","jump",17
"ankle","dance",17
"ankle","run",17
"ankle","jog",17
"ankle","kick",17
"ankle","scratch",17
"ankle","hurt",17
"ankle","adjust",17
"anklet","wear",17
"anklet","look",17
"anklet","enjoy",17
"anklet","gift",17
"anklet","sell",17
"anklet","buy",17
"anklet","polish",17
"anklet","join",17
"anklet","make",17
"anklet","give",17
"anklet","throw",17
"anklet","drop",17
"anklet","wave",17
"anklet","dangle",17
"anklet","admire",17
"anklet","melt",17
"anklet","wash",17
"announcer","tell",7
"announcer","feel",7
"announcer","announce",7
"announcer","introduce",7
"announcer","speak",7
"announcer","talk",7
"announcer","shout",7
"ant","pick up",22
"ant","stand",22
"ant","build",22
"ant","keep",22
"ant","feed",22
"ant","eat",22
"ant","squish",22
"ant","study",22
"ant","analyze",22
"ant","follow",22
"ant","magnify",22
"ant","remove",22
"ant","avoid",22
"ant","crush",22
"ant","hold",22
"ant","step on",22
"ant","watch",22
"ant","shoo",22
"ant","food",22
"ant","carry",22
"ant","kill",22
"ant","fertilize",22
"antenna","receive",14
"antenna","inform",14
"antenna","transmit",14
"antenna","signal",14
"antenna","weapon",14
"antenna","plug",14
"antenna","power",14
"antenna","radio",14
"antenna","detect",14
"antenna","smell",14
"antenna","sound",14
"antenna","adjust",14
"antenna","fix",14
"antenna","attach",14
"antennae","receive",17
"antennae","straighten",17
"antennae","attach",17
"antennae","install",17
"antennae","climb",17
"antennae","erect",17
"antennae","paint",17
"antennae","broadcast",17
"antennae","transmit",17
"antennae","seek",17
"antennae","avoid",17
"antennae","signal",17
"antennae","move",17
"antennae","wiggle",17
"antennae","watch",17
"antennae","set",17
"antennae","communicate",17
"antibiotics","treat",14
"antibiotics","swallow",14
"antibiotics","cure",14
"antibiotics","take",14
