"cues","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","QSS","Animacy","n.unique","n.unique.affordance","total.affordance"
"gown",37,6.36,4.61,2.525,6.16,4,11,128,29,23,83
"grandchild",46,5.24,4.26,1.8976,5.26,10,NA,NA,36,28,83
"granddaughter",43,5,4.37,2.5198,4.68,13,NA,NA,29,23,66
"grandfather",44,5.833333333,4.86,3.0941,4.39,11,NA,NA,26,23,82
"grandma",29,5.769230769,4.54,3.3666,2.58,7,10,696,26,25,69
"grandnephew",39,5.08,4.69,0.4771,9.5,11,NA,NA,25,23,64
"grandniece",34,4.708333333,4.54,0.4771,10.11,10,NA,NA,33,21,52
"grandpa",47,5.76,4.39,3.2206,3.06,7,11,672,28,22,73
"grandparent",56,5.56,4.03,1.1461,5.5,11,NA,NA,38,31,98
"grandson",40,5.785714286,4.3,2.6107,5.89,8,NA,NA,31,21,66
"granite",46,4.666666667,5,1.9138,12.24,7,8,119,37,23,63
"granny",30,5.083333333,4.24,2.6345,4.22,6,NA,NA,36,28,67
"grape",39,6.214285714,5,2.3118,3.94,5,17,461,29,26,82
"grapefruit",42,5.96,4.96,2.1038,6.9,10,NA,NA,28,24,78
"grapevine",29,4.869565217,4.69,1.6812,7.37,9,NA,NA,31,24,50
"graphite",23,4.590909091,4.58,1.3424,10.11,8,NA,NA,28,21,40
"grass",46,5.454545455,4.93,2.933,3.94,5,14,529,33,30,110
"grasshopper",43,4.753721245,4.91,1.6812,5.78,11,14,640,33,27,76
"grater",18,4.92,4.52,0.9031,8.88,6,NA,NA,28,20,37
"grave",43,4.730769231,4.56,3.1274,7.06,5,22,108,29,27,72
"gravel",45,5.461538462,5,1.8692,7.19,6,12,114,34,28,71
"gravestone",28,4.875,4.72,1.2553,7.37,10,NA,NA,26,23,47
"graveyard",38,4.608695652,4.83,2.4362,6.06,9,NA,NA,36,26,77
"gravy",43,5.333333333,4.97,2.4314,6,5,13,107,37,30,98
"grease",34,4.666666667,4.61,2.5502,7.33,6,13,NA,29,25,58
"greenery",38,4.375,4.34,0.9031,9.63,8,NA,NA,38,30,69
"greenhouse",33,5.260869565,4.76,2.0531,9.22,10,NA,NA,26,21,51
"greens",32,4.5,4.1,2.0414,6.9,6,NA,NA,29,23,69
"grenade",30,5.2,4.9,2.3729,9.72,7,NA,NA,25,23,57
"greyhound",34,4.636363636,5,1.6721,8,9,NA,NA,28,22,68
"griddle",35,5.739130435,4.38,1.2788,8.67,7,NA,NA,35,34,90
"grill",31,5.72,4.86,2.3579,6.53,5,10,NA,27,26,68
"grits",25,5.291666667,4.74,1.9138,8.95,5,NA,NA,31,30,63
"groceries",34,5.962962963,4.74,2.48,5.35,9,11,NA,50,45,148
"groom",35,5,4.54,2.6021,7.78,5,11,638,29,25,61
"ground",34,5.875,4.77,3.5678,4.89,6,14,NA,26,24,64
"groundsman",34,4.333333333,4.19,0.301,10.88,10,NA,NA,28,22,58
"guard",27,5,4.04,3.4726,6.25,5,18,670,27,24,58
"guardhouse",25,4.28,4.67,1.5682,9.28,10,NA,NA,25,22,43
"guardrail",30,4.36,5,1.1761,9.35,9,NA,NA,26,23,56
"guardsman",25,4.481481481,4.64,0.9542,10.33,9,NA,NA,28,24,49
"guest",50,4.857142857,3.83,3.3092,6.21,5,13,677,29,23,71
"guesthouse",39,4.913043478,4.53,1.5911,9.26,10,NA,NA,27,24,77
"guestroom",32,4.538461538,4.44,0.699,7.76,9,NA,NA,29,27,67
"guidebook",48,5.791666667,4.83,1.5563,11.11,9,NA,NA,26,25,79
"guillotine",32,4.52173913,4.64,1.6335,11.75,10,NA,NA,27,25,65
"guitar",37,6.293243243,4.9,2.9009,5.32,6,16,116,33,29,83
"guitarist",33,4.75,4.58,1.5682,9.26,9,NA,NA,26,23,55
"gum",33,6.36,4.89,2.8351,4.89,3,9,NA,34,32,103
"gumbo",28,4.619047619,4.39,1.6628,12.05,5,NA,NA,26,26,59
"gumdrop",30,5.875,4.9,0.9542,5.53,7,NA,NA,28,25,72
"gun",34,6.12,4.83,4.0364,5.58,3,18,105,29,27,82
"gunfighter",28,4.52,4.34,1.8633,7.18,10,NA,NA,28,24,62
"gunnysack",20,4.666666667,4.52,0.7782,11.58,9,NA,NA,25,23,47
"gunpowder",27,4.96,4.79,1.9345,9.74,9,NA,NA,29,22,47
"guy",58,5.84,4.68,4.5899,4.11,3,8,688,30,25,80
"gym",39,4.958333333,4.83,2.9675,6,3,17,NA,24,23,61
"gymnasium",30,4.464285714,4.81,1.8573,6.63,9,NA,NA,29,24,62
"gymnast",43,5,4.85,1.4914,6.74,7,19,657,27,21,58
"gynecologist",38,4.833333333,4.39,1.8633,NA,12,NA,NA,26,21,42
"gyroscope",22,4.814814815,4.25,1,12.69,9,NA,NA,31,26,49
"hailstone",36,5,4.57,0.4771,10.14,9,NA,NA,36,30,62
"hair",53,6.318181818,4.97,3.8939,3.17,4,19,360,27,25,100
"hairbrush",38,6.48,4.75,1.5798,4.7,9,NA,NA,38,36,92
"hairdo",25,5.08,4.07,1.8261,6.39,6,NA,NA,27,24,52
"hairdresser",26,5.384615385,4.79,2.1038,6.65,11,NA,NA,27,21,59
"hairline",30,4.92,4.46,1.7993,9.68,8,NA,NA,28,21,51
"hairnet",26,5.458333333,4.96,1.1139,8.7,7,NA,NA,35,33,54
"hairpiece",39,5.956521739,4.82,1.301,10.83,9,NA,NA,34,28,69
"hairpin",38,6.125,4.83,1.2788,8.17,7,NA,NA,30,28,72
"hairstyle",50,4.68,3.9,1.5563,7.11,9,NA,NA,34,29,79
"hairstylist",40,5.041666667,4.79,0.9031,8.5,11,NA,NA,27,24,70
"hall",30,4.346153846,4.67,3.4232,5.35,4,19,NA,25,22,58
"hallway",27,4.708333333,4.74,2.6884,5.38,7,20,108,27,26,57
"ham",44,5.541666667,4.9,2.7723,4.1,3,18,NA,30,24,86
"hamburger",37,6.148148148,5,2.5999,5.21,9,13,NA,28,26,88
"hammer",32,6.173913043,4.77,2.8041,5.42,6,7,133,24,24,62
"hammock",43,6.166666667,4.89,1.8573,7.11,7,15,NA,38,37,136
"hamper",34,4.4,4.21,1.8633,6.8,6,16,NA,28,25,66
"hamster",39,5.583333333,4.86,2.0414,4.37,7,NA,NA,39,33,89
"hamstring",24,5.08,4.72,1.0414,9.74,9,NA,NA,29,28,70
"hand",60,6.44,4.72,4.1542,2.74,4,16,500,24,23,103
"handbag",30,6,4.93,2.1303,7.95,7,13,NA,36,34,99
"handball",28,5.75,4.48,1.4624,8.69,8,NA,NA,27,25,91
"handbook",41,5.782608696,4.64,1.7243,8.89,8,NA,NA,26,23,68
"handbrake",24,5.083333333,4.69,1,8.05,9,NA,NA,28,23,53
"handcart",21,5.6,4.67,0.699,7.31,8,NA,NA,27,25,62
"handclap",29,4.434782609,4.28,0.8451,5.06,8,NA,NA,26,26,52
"handclasp",42,4.681818182,4.22,0.6021,10.78,9,NA,NA,37,31,61
"handgun",34,5.761904762,5,1.8261,7.59,7,NA,NA,27,25,66
"handhold",26,5.045454545,3.91,0.6021,9.26,8,NA,NA,25,19,48
"handkerchief",30,5.72,5,2.3324,7.22,12,19,100,36,34,91
"handle",40,4.958333333,4.57,3.7427,6.3,6,20,NA,39,36,119
"handlebar",27,5.384615385,4.76,1.0414,6.26,9,NA,NA,29,25,64
"handrail",33,5.227272727,4.72,0.8451,7,8,NA,NA,28,26,63
"handsaw",23,6.076923077,5,0.7782,8.56,7,NA,NA,28,28,68
"handshake",33,5.636363636,4.52,2.1931,6,9,NA,NA,35,31,58
"handwork",31,4.928571429,3.66,0.301,9.22,8,NA,NA,27,23,51
"hanger",13,5.291666667,4.81,1.8451,6.78,6,5,NA,27,23,45
"hangnail",28,5.814814815,4.71,1.2041,10.84,8,NA,NA,30,24,55
"hanky",18,4.481481481,4.76,1.6335,8.71,5,NA,NA,25,20,47
"hardcover",21,4.652173913,4.69,0.9542,8.36,9,NA,NA,28,20,38
"hardware",34,5.52,4.62,2.5428,8.63,8,NA,NA,28,25,56
"hardwood",30,5.076923077,4.4,1.5315,9.84,8,NA,NA,27,20,53
"harmonica",29,6.416666667,4.9,1.9542,7.32,9,NA,NA,32,30,67
"harness",33,4.4,4.14,2.1271,7.83,7,NA,NA,28,26,58
"harp",31,5.8,4.85,2.1303,7.55,4,17,NA,27,25,61
"harpist",27,4.304347826,4.08,0.4771,12.11,7,NA,NA,33,29,54
"harpsichord",38,4.904761905,4.67,1.0792,12,11,NA,NA,29,26,67
"harvest",30,4.464285714,4,2.2923,7.4,7,21,NA,35,28,59
"hat",33,6.44,4.88,3.5151,3.33,3,12,115,28,26,69
"hatband",20,5.16,4.38,0.301,9.61,7,NA,NA,25,19,33
"hatchback",20,4.818181818,4.48,0.9542,12,9,NA,NA,26,20,37
"hatchet",34,5.791666667,4.93,2.0043,8.2,7,13,114,34,30,87
"haystack",49,4.956521739,4.87,1.8513,6.32,8,15,NA,34,30,88
"head",44,5.48,4.75,4.2776,3.42,4,15,467,36,32,97
"headboard",27,5.52,4.65,1.2041,9.86,9,NA,NA,26,21,44
"headdress",33,5.541666667,4.71,1.2041,9.06,9,NA,NA,35,32,62
"headgear",18,5.625,4.83,1.2304,10.78,8,NA,NA,26,22,39
"headlight",26,4.538461538,4.97,1.5798,6.79,9,NA,NA,31,30,63
"headmistress",34,4.555555556,4.56,1.2304,11,12,NA,NA,28,24,54
"headphones",28,6.083333333,4.79,1.9085,7.74,10,NA,NA,27,25,72
"headpiece",32,5.347826087,4.8,1.2304,10,9,NA,NA,29,26,55
"headrest",32,5.346153846,4.8,0.8451,7.68,8,NA,NA,36,35,72
"heads",28,4.28,4.63,3.3381,5.74,5,NA,NA,29,25,56
"headset",33,6,4.83,1.6335,9.05,7,NA,NA,26,22,54
"hearse",34,4.928571429,4.85,1.9138,9.89,6,NA,NA,30,23,69
"hedgehog",26,5.043478261,4.93,1.2041,8.63,8,NA,NA,26,20,43
"heel",39,4.666666667,4.86,2.5775,7.85,4,10,321,36,29,84
"helicopter",30,5.178571429,4.62,2.9069,5.26,10,15,NA,27,27,81
"helmet",32,6.111111111,4.92,2.6848,5.71,6,11,150,30,28,72
"hen",29,4.652173913,4.9,2.2148,6.39,3,10,654,29,21,52
"herb",33,5.826086957,4.57,2.4065,9.05,4,17,530,30,28,89
"herbivore",25,4.363636364,4.08,0.8451,11.94,9,NA,NA,31,23,48
"heroin",26,4.423076923,4.57,2.7007,10.88,6,13,NA,32,22,49
"hibachi",28,4.666666667,4.14,0.9031,14.21,7,NA,NA,33,27,69
"hibiscus",33,4.952380952,4.48,0.7782,13.88,8,NA,NA,27,24,71
"hickory",38,4.357142857,4.34,1.8451,9.39,7,NA,NA,28,23,64
"hiker",28,5.260869565,4.53,1.1761,8.5,5,21,NA,27,23,58
"hill",29,4.535714286,4.93,3.2824,3.47,4,14,142,25,24,57
"him",39,4.47826087,3.54,5.2497,3.43,3,4,NA,25,19,53
"hinge",27,4.333333333,4.57,1.4771,7.95,5,6,NA,31,22,44
"hip",51,5.086956522,4.21,2.896,6.17,3,18,NA,35,31,96
"hippie",34,4.56,4.07,2.1461,10.78,6,NA,NA,27,21,48
"hitchhiker",40,4.375,4.83,1.7076,7.68,10,NA,NA,31,28,59
"hoe",32,5.545454545,4.74,1.6812,8.72,3,13,123,28,24,59
"hog",38,4.407407407,4.66,2.4183,5.7,3,9,673,32,28,76
"holder",22,4.28,3.74,1.9191,6.85,6,19,NA,31,25,54
"holding",29,4.428571429,3.72,3.5479,NA,7,NA,NA,26,25,48
"holster",20,4.68,4.59,2.0492,10.32,7,NA,NA,33,26,44
"home",35,5.434782609,4.11,4.5965,3.87,4,15,NA,27,26,83
"homemaker",34,5.285714286,4.22,1.2553,8.58,9,NA,NA,28,24,64
"homework",40,5.32,4.5,3.012,5.89,8,20,NA,25,22,63
"honey",40,5.434782609,4.88,4.1854,5.44,5,10,158,35,28,87
"honeycomb",39,4.695652174,4.72,1.3222,7.11,9,NA,NA,25,24,69
"honeydew",21,5.444444444,4.86,1.1761,7.56,8,NA,NA,31,27,53
"honeysuckle",38,5.375,4.48,1,8.26,11,NA,NA,29,25,72
"hood",17,5.44,4.88,2.8954,5.5,4,14,NA,27,20,47
"hook",32,5,4.79,3.2876,6.26,4,17,104,29,26,68
"hookah",23,6.25,4.83,0.4771,15.13,6,NA,NA,26,24,50
"hookers",43,5.08,4.63,2.301,NA,7,NA,NA,28,25,59
"hoop",28,5.296296296,4.74,2.1399,6.11,4,11,NA,30,27,69
"horn",40,5.291666667,5,3.0318,4.84,4,15,123,33,29,76
"horse",50,5.88,5,3.6756,4.15,5,16,683,28,27,107
"horsefly",31,4.32,4.97,0.7782,NA,8,NA,NA,33,29,69
"horseman",30,4.28,4.3,1.7924,9,8,NA,NA,27,23,51
"horseradish",24,5.24,4.81,1.415,9.94,11,NA,NA,26,20,42
"horseshoe",33,5.2,5,1.7243,5.85,9,NA,NA,36,35,79
"horsewhip",31,4.652173913,4.37,1.0792,10,9,NA,NA,32,29,54
"hose",34,5.565217391,4.87,2.6149,5.33,4,13,NA,33,31,71
"hostel",41,4.708333333,3.9,1.4771,15.58,6,NA,NA,28,28,69
"hostess",40,5.214285714,4.12,2.2788,8.47,7,17,692,25,19,60
"hotel",28,5.695652174,4.93,3.7214,6.05,5,16,119,27,26,71
"hotplate",21,5.230769231,4.7,0.7782,12.21,8,NA,NA,28,24,51
"hound",45,4.962962963,4.48,2.4116,5.74,5,5,677,27,24,79
"hourglass",31,4.583333333,4.93,1.699,8.58,9,NA,NA,34,30,74
"house",50,5.782608696,5,4.4185,3.16,5,13,125,36,33,111
"houseboat",37,4.956521739,4.74,1.6128,10.63,9,NA,NA,35,33,102
"houseboy",17,4.583333333,4.26,1.5682,12.18,8,NA,NA,25,21,40
"housecoat",24,5.653846154,4.89,0.8451,9.1,9,NA,NA,31,29,73
"housefly",22,4.541666667,4.96,1,NA,8,NA,NA,25,22,45
"housekeeper",41,4.458333333,4.36,2.4757,7.61,11,NA,NA,36,34,96
"housemaid",27,4.84,4.52,1.1139,9,9,NA,NA,28,28,63
"housewife",34,5.2,4.43,2.2577,8.28,9,NA,NA,28,25,81
"hubcap",46,4.833333333,5,0.9031,8.39,6,NA,NA,30,25,69
"hug",34,4.652173913,4.14,2.9943,2.58,3,13,NA,27,25,56
"human",51,5.666666667,4.93,3.8037,4.83,5,16,688,25,21,83
"hurdle",38,4.36,3.97,1.5798,8.75,6,NA,NA,34,30,76
"husband",48,6.041666667,4.11,3.9972,5.53,7,4,674,27,24,81
"husk",26,4.304347826,4.86,1.3424,8.63,4,8,NA,26,20,44
"husky",29,4.892857143,3.59,1.9138,10.21,5,12,NA,29,23,57
"hut",33,5.130434783,4.65,2.8293,8.1,3,17,100,37,32,77
"hutch",38,4.708333333,4.31,2.2672,10.57,5,NA,NA,30,25,70
"hypnotist",29,4.44,4.07,1.6232,10.3,9,NA,NA,29,23,51
"ice",40,5.458333333,4.89,3.6083,3.86,3,18,133,31,25,84
"iceboat",40,4.37037037,4.78,0.4771,13.31,7,NA,NA,25,24,73
"icebox",24,5.181818182,4.71,2.0969,7.11,6,NA,NA,27,25,59
"icepick",28,5.416666667,4.68,0.301,9,7,NA,NA,27,23,48
"icing",29,4.76,4.66,1.8573,5.53,5,9,NA,33,28,67
"igloo",34,4.851851852,4.73,1.2041,5.42,5,9,NA,25,21,61
"iguana",31,5.166666667,4.83,1.6128,7.61,6,NA,NA,28,24,56
"illustrator",26,4.48,3.76,1.1139,8.41,11,NA,NA,31,29,62
"incubator",33,4.291666667,4.65,1.716,10,9,NA,NA,36,30,64
"infant",45,6.038461538,4.93,2.3345,6.42,6,6,688,28,24,72
"ingredients",30,4.958333333,4.16,2.0414,6.69,11,NA,NA,48,44,119
"ink",38,5.56,4.56,2.5832,5.16,3,10,NA,37,35,98
"insect",44,5.125,4.89,2.2095,4.75,6,8,652,34,28,84
"insole",19,4.454545455,4.11,0.4771,12.21,6,NA,NA,31,21,37
"inspector",43,4.391304348,4.62,3.0512,8.84,9,NA,NA,33,30,68
"instructor",32,4.583333333,4.26,2.382,8.19,10,6,665,32,30,82
"instrument",28,5.739130435,4.27,2.617,6.94,10,14,100,26,22,55
"insulin",16,4.625,4.37,2.0334,11.32,7,NA,NA,26,20,37
"intercom",37,4.695652174,4.67,2.0334,8.79,8,NA,NA,35,33,76
"intern",50,4.791666667,3.86,2.3674,14,6,NA,NA,31,26,67
"interviewer",38,4.75,4.47,1.3617,10.11,11,NA,NA,33,27,70
"inventor",25,4.391304348,3.82,2.0719,8,8,23,696,30,23,52
"investigator",32,4.888888889,4.37,2.4942,9.32,12,NA,NA,30,26,59
"iron",36,5.538461538,4.59,2.9619,7.32,4,23,NA,27,21,52
"item",39,5.739130435,4.41,2.7987,5.68,4,11,212,25,19,66
"jacket",32,6.333333333,4.86,3.2317,3.95,6,15,100,27,27,87
"jaguar",35,4.826086957,4.9,2.0864,7.78,6,NA,NA,32,26,57
"jam",36,5.173913043,4.71,2.8395,6.56,3,12,NA,29,23,82
"jar",25,6.208333333,5,2.6284,5.44,3,13,NA,28,24,61
"jasmine",36,4.32,4.55,2.4456,10.26,7,NA,NA,27,21,66
"javelin",31,5.833333333,4.9,1.3979,9.44,7,NA,NA,26,23,55
"jaw",40,5.5,4.87,2.5623,5.33,3,13,NA,38,36,122
"jawbreaker",27,5.28,4.22,0.8451,6.89,10,NA,NA,28,24,62
"jeans",23,6.44,5,2.5289,5.26,5,13,NA,58,50,130
"jeep",22,5.409090909,4.8,2.7202,6.32,4,16,108,26,25,52
"jelly",25,5.48,4.93,2.5611,4.11,5,11,123,26,22,52
"jersey",30,5.8,4.56,2.9657,8.96,6,NA,NA,29,21,43
"jet",42,5.041666667,4.77,2.8585,5.39,3,10,119,40,40,100
"jewel",29,5.44,4.96,2.5682,6.22,5,20,104,29,26,55
"jeweler",30,4.695652174,4.61,1.7324,9.5,7,NA,NA,40,34,74
"jewelry",24,6.576923077,4.82,2.752,6.67,7,13,NA,27,23,61
"jockstrap",15,5.739130435,4.97,1.3617,9.95,9,NA,NA,27,22,36
"jogger",28,5,4.68,1.3979,8.26,6,NA,NA,32,27,51
"joint",29,4.375,4.37,3.148,9.05,5,19,NA,30,26,57
"journal",49,6,4.63,2.6571,8.5,7,15,128,33,30,98
"journalist",46,4.5,4.04,2.4942,10.11,10,NA,NA,27,23,65
"joystick",19,6.12,4.74,1.2041,9.29,8,NA,NA,33,23,43
"juice",36,5.739130435,4.89,3.1374,4.4,5,10,116,33,30,81
"jukebox",41,5.8,4.93,2.0682,7.42,7,NA,NA,26,26,69
"jumper",37,4.296296296,4.03,2.0719,7,6,NA,NA,27,24,66
"junk",30,4.962962963,3.88,2.8949,6.62,4,19,NA,26,24,58
"jurist",41,4.380952381,3.96,1.1461,12.71,6,NA,NA,31,22,53
"juror",37,4.782608696,4.29,2.1206,10.16,5,NA,NA,31,25,62
"kale",29,5.652173913,4.81,1.4624,12.12,4,NA,NA,26,23,58
"kaleidoscope",32,5.84,4.79,1.2041,7.41,12,NA,NA,35,30,72
"kazoo",23,5.6,4.85,1.5051,6.25,5,NA,NA,32,25,53
"kebab",31,5.916666667,4.85,1.5051,10.44,5,NA,NA,27,25,78
"keepsake",34,4.75,3.89,1.5682,9.47,8,NA,NA,34,26,72
"keg",35,4.962962963,4.75,2.2455,13.41,3,4,NA,25,23,69
"kelp",26,4.826086957,4.9,1.8062,10.22,4,NA,NA,28,23,52
"kerchief",30,5.666666667,4.85,1.301,6.94,8,NA,NA,25,24,55
"kernel",24,4.5,4.21,1.5563,8.74,6,NA,NA,27,23,52
"ketchup",23,6.304347826,5,2.4928,4.3,7,8,NA,39,33,71
"kettle",24,5.44,4.75,2.1584,8.06,6,14,100,28,25,48
"kettledrum",25,4.916666667,4.9,0.4771,11.56,10,NA,NA,31,24,48
"key",34,6.28,4.89,3.6465,3.58,3,9,109,29,27,68
"keyboard",26,6.08,4.93,1.9685,9.32,8,12,NA,29,28,65
"keyhole",23,5.44,4.63,1.7324,7.86,7,NA,NA,31,30,62
"kid",37,5.68,4.56,4.238,4.28,3,12,696,53,43,152
"kidney",27,4.68,4.96,2.6946,9.33,6,15,NA,25,21,36
"kiln",20,4.304347826,4.82,1.301,10.69,4,NA,NA,29,26,48
"kilt",28,5.04,4.71,1.5051,8.21,4,NA,NA,29,28,47
"kindle",27,4.4,3.74,1,12.36,6,NA,NA,25,24,57
"kindling",37,4.583333333,3.76,1.4771,9.5,8,NA,NA,30,23,59
"kiss",24,4.571428571,4.48,3.791,3.61,4,13,NA,54,44,80
"kit",33,4.739130435,4.47,2.9547,6.55,3,19,NA,37,28,55
"kitchen",27,5.625,4.97,3.4735,3.68,7,22,NA,30,28,94
"kitchenette",22,4.782608696,4.56,1.2304,12.95,11,NA,NA,26,21,51
"kite",27,5.8,5,2.0719,4.58,4,8,122,25,25,61
"kitten",32,6.4,4.86,2.3838,3.64,6,6,700,26,24,86
"kitty",29,6.043478261,4.97,3.1345,3.54,5,NA,NA,35,27,70
"kiwi",40,6.08,4.86,1.6128,7.56,4,6,NA,33,30,116
"kleenex",28,6.043478261,4.92,1.8976,NA,7,12,NA,28,27,78
"knapsack",24,5.84,4.9,1.5315,11.17,8,16,NA,26,23,47
"knee",27,5.818181818,5,2.8751,4.42,4,14,454,28,25,67
"kneecap",48,5.714285714,4.7,1.4771,6.37,7,NA,NA,36,35,112
"knickers",36,5.5,4.54,1.8195,9.94,8,NA,NA,32,26,77
"knitting",24,4.304347826,4.14,2.0645,7.24,8,17,NA,29,21,43
"knob",19,5.888888889,4.75,2.1004,4.68,4,6,NA,27,24,46
"knot",29,5.76,4.87,2.2765,6.05,4,8,NA,29,26,53
"knuckle",22,5.76,4.93,1.8261,5.94,7,15,408,53,50,130
"kumquat",35,5.619047619,4.88,1.3979,12.47,7,NA,NA,25,23,60
"label",44,5.375,4.46,2.5465,6.1,5,23,NA,37,29,58
"laboratory",24,4.739130435,4.46,2.5211,8.72,10,NA,NA,28,21,47
"labrador",58,5.074074074,4.35,1.4472,NA,8,NA,NA,37,33,127
"lace",20,4.869565217,4.85,2.2788,6.44,4,24,NA,28,22,39
"lad",35,4.36,4.28,2.8675,7.35,3,NA,NA,27,20,44
"ladder",32,6.117567568,5,2.6749,4.4,6,14,100,33,32,81
"ladle",31,4.84,4.9,1.5911,9.83,5,NA,NA,28,23,63
"lady",43,5.32,4.33,4.0442,3.68,4,15,691,28,22,72
"ladybug",30,4.875,4.92,1.3222,4.84,7,NA,NA,26,20,47
"lager",28,4.695652174,4.64,1.415,14,5,NA,NA,26,23,54
"lake",36,5.035714286,4.88,3.2641,4.61,4,15,319,35,32,103
"lamb",35,4.444444444,4.97,2.7348,4.15,4,14,692,34,27,74
"lambskin",23,4.416666667,4.72,0.699,10.78,8,NA,NA,32,23,41
"lamp",24,6.083333333,4.97,2.8182,4,4,7,100,26,24,58
"lamplight",44,4.291666667,4.8,0.8451,7,9,NA,NA,38,35,97
"lamplighter",12,4.263157895,4.24,0.6021,10.69,11,NA,NA,25,20,32
"lampshade",30,5.296296296,4.82,1.1761,5.63,9,NA,NA,31,26,46
"lance",28,4.571428571,4.07,2.7443,11.79,5,NA,NA,29,19,44
"land",54,5.56,4.57,3.6527,5.22,4,25,NA,35,29,96
"landlady",34,4.76,4.22,2.0294,9.18,8,NA,NA,26,23,56
"landscape",42,4.384615385,4.34,2.1072,9.89,9,20,348,30,28,70
"lantern",33,5.653846154,5,2.017,8.55,7,NA,NA,30,27,60
"lanyard",32,5.416666667,4.46,0.699,12.14,7,NA,NA,30,23,71
"lapdog",45,4.739130435,4.31,1.3424,10.1,6,NA,NA,32,27,82
"larvae",20,4.375,4.62,1.4771,NA,6,NA,NA,30,19,30
"laryngoscope",28,4.411764706,4.48,1.1461,17.67,12,NA,NA,26,23,42
"lasso",32,5.555555556,4.74,1.6628,8.56,5,NA,NA,32,28,62
"latch",35,5.541666667,4.79,1.9956,8,5,12,NA,35,33,73
"latex",21,5.086956522,4.77,1.8751,13.48,5,NA,NA,36,21,41
"latrine",30,6.333333333,4.62,2.1761,12.27,7,NA,NA,25,19,47
"laundry",24,6.208333333,4.93,2.9881,6.05,7,8,NA,25,24,64
"lavatory",34,5.620689655,4.81,1.699,10.58,8,NA,NA,26,23,51
"lawn",38,5.695652174,4.93,2.8,5.45,4,11,488,27,24,82
"lawyer",37,4.625,4.7,3.6081,7.78,6,13,652,33,30,70
"laxative",33,5.206896552,4.07,1.6435,11.68,8,NA,NA,33,32,62
"leaf",56,5.584345479,5,2.4249,4.6,4,10,500,61,53,153
"leaflet",46,5.956521739,4.31,0.4771,10.37,7,NA,NA,29,26,85
"leash",24,5.708333333,4.89,2.3424,5.79,5,NA,NA,26,20,49
"leather",37,5.576923077,4.82,2.8414,7.25,7,20,NA,31,25,86
"ledge",35,4.541666667,4.72,2.2553,11.05,5,14,NA,35,30,76
"ledger",31,4.583333333,4.36,1.7993,12.78,6,NA,NA,28,23,56
"leech",25,4.291666667,4.33,1.9542,7.84,5,NA,NA,27,27,47
"leftovers",36,5.625,4.48,2.1072,5.62,9,NA,NA,33,33,104
"leg",44,5.875,4.83,3.4598,3,3,10,521,28,28,108
"leggings",26,6.130434783,4.86,1.1461,10,8,NA,NA,26,22,54
"lei",32,5.058823529,4.83,1.5798,NA,3,NA,NA,32,26,61
"lemon",50,6.08,5,2.7882,4.74,5,11,435,28,27,108
"lemonade",21,5.409090909,4.83,2.4502,5.06,8,18,126,28,28,61
"lens",25,5.115384615,4.64,2.3784,9.53,4,7,NA,30,25,50
"leopard",41,5.260869565,5,2.4425,6.84,7,11,683,30,26,76
"leotard",41,5.363636364,4.74,1.3222,NA,7,NA,NA,29,26,89
"letter",52,5.259259259,4.7,3.6247,4.74,6,15,116,34,31,118
"letterbox",26,4.56,4.6,0.4771,9.83,9,NA,NA,26,23,47
"lettuce",27,6.083333333,4.97,2.2405,4.28,7,11,452,29,22,65
"lever",27,5.038461538,4.77,2.2148,7.89,5,15,112,25,24,60
"library",38,4.391304348,4.8,3.0686,4.95,7,4,122,26,24,94
"lice",28,5,4.73,2.0414,NA,4,9,NA,26,22,35
"licence",45,4.76,4.57,2.4014,9.37,7,NA,NA,29,26,90
"lid",49,5.428571429,4.96,2.4014,5.95,3,10,NA,40,37,103
"lifeboat",29,5.333333333,4.48,1.8573,7.72,8,NA,NA,29,27,62
"lifebuoy",28,4.260869565,4.65,0.6021,10.12,8,NA,NA,26,22,52
"lifeguard",23,4.96,4.47,1.9345,5.63,9,NA,NA,26,24,51
"lighthouse",31,4.791666667,4.96,2.1987,6.11,10,NA,NA,26,23,51
"lilac",38,5,4.69,1.6021,8.89,5,NA,NA,34,28,69
"lily",31,4.884615385,4.69,3.137,6.67,4,11,NA,53,41,129
"limb",49,5.703703704,4.64,2.3784,7.16,4,8,486,30,26,79
"lime",24,5.52,4.96,2.2279,6.61,4,11,484,55,45,134
"limeade",20,4.75,4.44,0.7782,9.35,7,NA,NA,25,22,54
"limestone",39,4.565217391,4.59,1.4472,12,9,NA,NA,33,28,75
"limousine",33,5.565217391,4.63,2.1614,8.17,9,16,104,27,24,78
"linen",35,5.875,4.8,2.1761,7.68,5,11,NA,33,22,60
"lingerie",37,5.72,4.87,2.1614,13.44,8,15,NA,37,34,77
"linoleum",29,4.62962963,4.85,1.4472,10.5,8,NA,NA,27,21,53
"lint",22,5.04,4.96,1.8388,7.47,4,16,NA,37,28,51
"lip",31,5.52173913,4.96,2.7396,3.79,3,13,432,33,31,87
"lipstick",32,5.928571429,4.9,2.6532,5.42,8,11,NA,35,29,75
"liqueur",25,5.666666667,4.64,1.4624,12.4,7,NA,NA,34,28,75
